云南组播,#genre#
IPTV14早教,http://221.220.131.71:8012/rtp/239.3.1.79:4120$北京联通-组播5
IPTV武术,http://221.220.131.71:8012/rtp/239.3.1.87:4120$北京联通-组播5
IPTV爱生活,http://221.220.131.71:8012/rtp/239.3.1.86:4120$北京联通-组播5
IPTV美人,http://221.220.131.71:8012/rtp/239.3.1.73:4120$北京联通-组播5
IPTV美妆,http://221.220.131.71:8012/rtp/239.3.1.72:4120$北京联通-组播5
IPTV足球,http://221.220.131.71:8012/rtp/239.3.1.89:4120$北京联通-组播5
IPTV鉴赏,http://221.220.131.71:8012/rtp/239.3.1.82:4120$北京联通-组播5
IPTV15音乐现场,http://221.220.131.71:8012/rtp/239.3.1.70:4120$北京联通-组播5
光影,http://221.220.131.71:8012/rtp/239.3.1.84:4120$北京联通-组播5
睛彩竞技,http://221.220.131.71:8012/rtp/239.3.1.125:8001$北京联通-组播5
睛彩篮球,http://221.220.131.71:8012/rtp/239.3.1.126:8001$北京联通-组播5
睛彩羽毛球,http://221.220.131.71:8012/rtp/239.3.1.127:8001$北京联通-组播5
睛彩广场舞,http://221.220.131.71:8012/rtp/239.3.1.128:8001$北京联通-组播5

四川组播,#genre#
四川卫视,http://112.19.88.97:8899/rtp/239.11.0.78:5140$四川移动-组播1
康巴卫视,http://112.19.88.97:8899/rtp/239.11.0.10:5140$四川移动-组播1
四川影视文艺,http://112.19.88.97:8899/rtp/239.11.0.77:5140$四川移动-组播1
四川科教频道,http://112.19.88.97:8899/rtp/239.11.0.194:5140$四川移动-组播1
四川峨眉电影,http://112.19.88.97:8899/rtp/239.11.0.11:5140$四川移动-组播1
CDTV1综合,http://112.19.88.97:8899/rtp/239.10.0.11:5140$四川移动-组播1
CDTV2经济,http://112.19.88.97:8899/rtp/239.10.0.12:5140$四川移动-组播1
CDTV3生活,http://112.19.88.97:8899/rtp/239.10.0.13:5140$四川移动-组播1
CDTV4影视,http://112.19.88.97:8899/rtp/239.10.0.14:5140$四川移动-组播1
CDTV5公共,http://112.19.88.97:8899/rtp/239.10.0.15:5140$四川移动-组播1
CDTV6少儿,http://112.19.88.97:8899/rtp/239.10.0.16:5140$四川移动-组播1
CCTV-1综合,http://112.19.88.97:8899/rtp/239.11.0.65:5140$四川移动-组播1
CCTV-2财经,http://112.19.88.97:8899/rtp/239.11.0.108:5140$四川移动-组播1
CCTV-3综艺,http://112.19.88.97:8899/rtp/239.11.0.101:5140$四川移动-组播1
CCTV-4中文国际,http://112.19.88.97:8899/rtp/239.11.0.109:5140$四川移动-组播1
CCTV-5体育,http://112.19.88.97:8899/rtp/239.11.0.100:5140$四川移动-组播1
CCTV-5+体育赛事,http://112.19.88.97:8899/rtp/239.11.0.241:5140$四川移动-组播1
CCTV-6电影,http://112.19.88.97:8899/rtp/239.11.0.102:5140$四川移动-组播1
CCTV-7国防军事,http://112.19.88.97:8899/rtp/239.11.0.110:5140$四川移动-组播1
CCTV-8电视剧,http://112.19.88.97:8899/rtp/239.11.0.103:5140$四川移动-组播1
CCTV-9纪录,http://112.19.88.97:8899/rtp/239.11.0.111:5140$四川移动-组播1
CCTV-10科教,http://112.19.88.97:8899/rtp/239.11.0.112:5140$四川移动-组播1
CCTV-11戏曲,http://112.19.88.97:8899/rtp/239.11.0.22:5140$四川移动-组播1
CCTV-12社会与法,http://112.19.88.97:8899/rtp/239.11.0.113:5140$四川移动-组播1
CCTV-13新闻,http://112.19.88.97:8899/rtp/239.11.0.24:5140$四川移动-组播1
CCTV-14少儿,http://112.19.88.97:8899/rtp/239.11.0.114:5140$四川移动-组播1
CCTV-15音乐,http://112.19.88.97:8899/rtp/239.11.0.26:5140$四川移动-组播1
CCTV-16奥林匹克4K,http://112.19.88.97:8899/rtp/239.10.0.187:5140$四川移动-组播1
CCTV-17农业农村,http://112.19.88.97:8899/rtp/239.11.0.107:5140$四川移动-组播1
湖南卫视,http://112.19.88.97:8899/rtp/239.11.0.119:5140$四川移动-组播1
江苏卫视,http://112.19.88.97:8899/rtp/239.11.0.76:5140$四川移动-组播1
浙江卫视,http://112.19.88.97:8899/rtp/239.11.0.70:5140$四川移动-组播1
安徽卫视,http://112.19.88.97:8899/rtp/239.11.0.117:5140$四川移动-组播1
北京卫视,http://112.19.88.97:8899/rtp/239.11.0.121:5140$四川移动-组播1
北京卫视4K超高清,http://112.19.88.97:8899/rtp/239.10.0.91:5140$四川移动-组播1
北京卫视4K超高清,http://112.19.88.97:8899/rtp/239.10.0.92:5140$四川移动-组播1
重庆卫视,http://112.19.88.97:8899/rtp/239.11.0.116:5140$四川移动-组播1
东方卫视,http://112.19.88.97:8899/rtp/239.11.0.68:5140$四川移动-组播1
东南卫视,http://112.19.88.97:8899/rtp/239.11.0.41:5140$四川移动-组播1
甘肃卫视,http://112.19.88.97:8899/rtp/239.11.0.55:5140$四川移动-组播1
广东卫视,http://112.19.88.97:8899/rtp/239.11.0.115:5140$四川移动-组播1
广西卫视,http://112.19.88.97:8899/rtp/239.11.0.48:5140$四川移动-组播1
贵州卫视,http://112.19.88.97:8899/rtp/239.11.0.51:5140$四川移动-组播1
河北卫视,http://112.19.88.97:8899/rtp/239.11.0.31:5140$四川移动-组播1
河南卫视,http://112.19.88.97:8899/rtp/239.11.0.44:5140$四川移动-组播1
黑龙江卫视,http://112.19.88.97:8899/rtp/239.11.0.36:5140$四川移动-组播1
湖北卫视,http://112.19.88.97:8899/rtp/239.11.0.74:5140$四川移动-组播1
吉林卫视,http://112.19.88.97:8899/rtp/239.11.0.35:5140$四川移动-组播1
江西卫视,http://112.19.88.97:8899/rtp/239.11.0.42:5140$四川移动-组播1
辽宁卫视,http://112.19.88.97:8899/rtp/239.11.0.118:5140$四川移动-组播1
山东卫视,http://112.19.88.97:8899/rtp/239.11.0.73:5140$四川移动-组播1
陕西卫视,http://112.19.88.97:8899/rtp/239.11.0.54:5140$四川移动-组播1
深圳卫视,http://112.19.88.97:8899/rtp/239.11.0.71:5140$四川移动-组播1
天津卫视,http://112.19.88.97:8899/rtp/239.11.0.123:5140$四川移动-组播1
云南卫视,http://112.19.88.97:8899/rtp/239.11.0.52:5140$四川移动-组播1
山西卫视,http://112.19.88.97:8899/rtp/239.11.0.32:5140$四川移动-组播1
海南卫视,http://112.19.88.97:8899/rtp/239.11.0.193:5140$四川移动-组播1
内蒙古卫视,http://112.19.88.97:8899/rtp/239.11.0.33:5140$四川移动-组播1
宁夏卫视,http://112.19.88.97:8899/rtp/239.11.0.57:5140$四川移动-组播1
青海卫视,http://112.19.88.97:8899/rtp/239.11.0.56:5140$四川移动-组播1
西藏卫视,http://112.19.88.97:8899/rtp/239.11.0.53:5140$四川移动-组播1
新疆卫视,http://112.19.88.97:8899/rtp/239.11.0.58:5140$四川移动-组播1
延边卫视,http://112.19.88.97:8899/rtp/239.11.0.206:5140$四川移动-组播1
兵团卫视,http://112.19.88.97:8899/rtp/239.11.0.204:5140$四川移动-组播1
睛彩篮球,http://112.19.88.97:8899/rtp/239.11.0.122:5140$四川移动-组播1
睛彩青少,http://112.19.88.97:8899/rtp/239.10.0.130:5140$四川移动-组播1
睛彩竞技,http://112.19.88.97:8899/rtp/239.10.0.224:5140$四川移动-组播1
睛彩广场舞,http://112.19.88.97:8899/rtp/239.10.0.131:5140$四川移动-组播1
咪咕体育直播1,http://112.19.88.97:8899/rtp/239.10.0.232:5140$四川移动-组播1
咪咕体育直播2,http://112.19.88.97:8899/rtp/239.10.0.233:5140$四川移动-组播1
咪咕体育直播3,http://112.19.88.97:8899/rtp/239.10.0.234:5140$四川移动-组播1
咪咕体育直播4,http://112.19.88.97:8899/rtp/239.10.0.235:5140$四川移动-组播1
咪咕体育直播5,http://112.19.88.97:8899/rtp/239.10.0.236:5140$四川移动-组播1
华数爱上4K,http://112.19.88.97:8899/rtp/239.11.0.120:5140$四川移动-组播1
华数光影,http://112.19.88.97:8899/rtp/239.10.0.153:5140$四川移动-组播1
华数星影,http://112.19.88.97:8899/rtp/239.10.0.156:5140$四川移动-组播1
华数家庭影院,http://112.19.88.97:8899/rtp/239.10.0.127:5140$四川移动-组播1
华数喜剧影院,http://112.19.88.97:8899/rtp/239.10.0.132:5140$四川移动-组播1
华数经典电影,http://112.19.88.97:8899/rtp/239.10.0.122:5140$四川移动-组播1
华数热播剧场,http://112.19.88.97:8899/rtp/239.10.0.121:5140$四川移动-组播1
华数谍战剧场,http://112.19.88.97:8899/rtp/239.10.0.123:5140$四川移动-组播1
华数城市剧场,http://112.19.88.97:8899/rtp/239.10.0.124:5140$四川移动-组播1
华数军旅剧场,http://112.19.88.97:8899/rtp/239.10.0.125:5140$四川移动-组播1
华数古装剧场,http://112.19.88.97:8899/rtp/239.10.0.126:5140$四川移动-组播1
华数武侠剧场,http://112.19.88.97:8899/rtp/239.10.0.133:5140$四川移动-组播1
华数动画,http://112.19.88.97:8899/rtp/239.10.0.163:5140$四川移动-组播1
上海动漫秀场,http://112.19.88.97:8899/rtp/239.10.0.101:5140$四川移动-组播1
上海生活时尚,http://112.19.88.97:8899/rtp/239.10.0.102:5140$四川移动-组播1
上海游戏风云,http://112.19.88.97:8899/rtp/239.10.0.103:5140$四川移动-组播1
上海乐游频道,http://112.19.88.97:8899/rtp/239.10.0.105:5140$四川移动-组播1
上海都市剧场,http://112.19.88.97:8899/rtp/239.10.0.106:5140$四川移动-组播1
上海欢笑剧场,http://112.19.88.97:8899/rtp/239.10.0.129:5140$四川移动-组播1
上海东方财经,http://112.19.88.97:8899/rtp/239.10.0.178:5140$四川移动-组播1
上海金色学堂,http://112.19.88.97:8899/rtp/239.10.0.179:5140$四川移动-组播1
上海法治天地,http://112.19.88.97:8899/rtp/239.10.0.180:5140$四川移动-组播1
金鹰纪实,http://112.19.88.97:8899/rtp/239.10.0.193:5140$四川移动-组播1
快乐垂钓,http://112.19.88.97:8899/rtp/239.10.0.128:5140$四川移动-组播1
中国交通,http://112.19.88.97:8899/rtp/239.10.0.143:5140$四川移动-组播1
中国天气,http://112.19.88.97:8899/rtp/239.10.0.177:5140$四川移动-组播1
求索纪录,http://112.19.88.97:8899/rtp/239.10.0.221:5140$四川移动-组播1
CETV1,http://112.19.88.97:8899/rtp/239.11.0.139:5140$四川移动-组播1
CETV2,http://112.19.88.97:8899/rtp/239.11.0.246:5140$四川移动-组播1
CGTN英语,http://112.19.88.97:8899/rtp/239.11.0.245:5140$四川移动-组播1
CGTN纪录,http://112.19.88.97:8899/rtp/239.11.0.138:5140$四川移动-组播1
金鹰卡通,http://112.19.88.97:8899/rtp/239.11.0.127:5140$四川移动-组播1
卡酷少儿,http://112.19.88.97:8899/rtp/239.11.0.129:5140$四川移动-组播1
优漫卡通,http://112.19.88.97:8899/rtp/239.11.0.63:5140$四川移动-组播1
哈哈炫动,http://112.19.88.97:8899/rtp/239.11.0.64:5140$四川移动-组播1
嘉佳卡通,http://112.19.88.97:8899/rtp/239.11.0.203:5140$四川移动-组播1
新动漫,http://112.19.88.97:8899/rtp/239.10.0.159:5140$四川移动-组播1
山东教育卫视,http://112.19.88.97:8899/rtp/239.11.0.140:5140$四川移动-组播1
铁路电视,http://112.19.88.97:8899/rtp/239.11.0.191:5140$四川移动-组播1
稻城电视台,http://112.19.88.97:8899/rtp/239.10.0.29:5140$四川移动-组播1
CDTV8购物,http://112.19.88.97:8899/rtp/239.10.0.33:5140$四川移动-组播1
IPTV国学,http://112.19.88.97:8899/rtp/239.10.0.186:5140$四川移动-组播1
IPTV地理,http://112.19.88.97:8899/rtp/239.10.0.190:5140$四川移动-组播1
IPTV戏曲,http://112.19.88.97:8899/rtp/239.10.0.150:5140$四川移动-组播1
IPTV高网,http://112.19.88.97:8899/rtp/239.10.0.164:5140$四川移动-组播1
四川卫视,http://183.220.20.17:4321/rtp/239.11.0.78:5140$四川移动-组播2
康巴卫视,http://183.220.20.17:4321/rtp/239.11.0.10:5140$四川移动-组播2
四川影视文艺,http://183.220.20.17:4321/rtp/239.11.0.77:5140$四川移动-组播2
四川科教频道,http://183.220.20.17:4321/rtp/239.11.0.194:5140$四川移动-组播2
四川峨眉电影,http://183.220.20.17:4321/rtp/239.11.0.11:5140$四川移动-组播2
CDTV1综合,http://183.220.20.17:4321/rtp/239.10.0.11:5140$四川移动-组播2
CDTV2经济,http://183.220.20.17:4321/rtp/239.10.0.12:5140$四川移动-组播2
CDTV3生活,http://183.220.20.17:4321/rtp/239.10.0.13:5140$四川移动-组播2
CDTV4影视,http://183.220.20.17:4321/rtp/239.10.0.14:5140$四川移动-组播2
CDTV5公共,http://183.220.20.17:4321/rtp/239.10.0.15:5140$四川移动-组播2
CDTV6少儿,http://183.220.20.17:4321/rtp/239.10.0.16:5140$四川移动-组播2
CCTV-1综合,http://183.220.20.17:4321/rtp/239.11.0.65:5140$四川移动-组播2
CCTV-2财经,http://183.220.20.17:4321/rtp/239.11.0.108:5140$四川移动-组播2
CCTV-3综艺,http://183.220.20.17:4321/rtp/239.11.0.101:5140$四川移动-组播2
CCTV-4中文国际,http://183.220.20.17:4321/rtp/239.11.0.109:5140$四川移动-组播2
CCTV-5体育,http://183.220.20.17:4321/rtp/239.11.0.100:5140$四川移动-组播2
CCTV-5+体育赛事,http://183.220.20.17:4321/rtp/239.11.0.241:5140$四川移动-组播2
CCTV-6电影,http://183.220.20.17:4321/rtp/239.11.0.102:5140$四川移动-组播2
CCTV-7国防军事,http://183.220.20.17:4321/rtp/239.11.0.110:5140$四川移动-组播2
CCTV-8电视剧,http://183.220.20.17:4321/rtp/239.11.0.103:5140$四川移动-组播2
CCTV-9纪录,http://183.220.20.17:4321/rtp/239.11.0.111:5140$四川移动-组播2
CCTV-10科教,http://183.220.20.17:4321/rtp/239.11.0.112:5140$四川移动-组播2
CCTV-11戏曲,http://183.220.20.17:4321/rtp/239.11.0.22:5140$四川移动-组播2
CCTV-12社会与法,http://183.220.20.17:4321/rtp/239.11.0.113:5140$四川移动-组播2
CCTV-13新闻,http://183.220.20.17:4321/rtp/239.11.0.24:5140$四川移动-组播2
CCTV-14少儿,http://183.220.20.17:4321/rtp/239.11.0.114:5140$四川移动-组播2
CCTV-15音乐,http://183.220.20.17:4321/rtp/239.11.0.26:5140$四川移动-组播2
CCTV-16奥林匹克4K,http://183.220.20.17:4321/rtp/239.10.0.187:5140$四川移动-组播2
CCTV-17农业农村,http://183.220.20.17:4321/rtp/239.11.0.107:5140$四川移动-组播2
湖南卫视,http://183.220.20.17:4321/rtp/239.11.0.119:5140$四川移动-组播2
江苏卫视,http://183.220.20.17:4321/rtp/239.11.0.76:5140$四川移动-组播2
浙江卫视,http://183.220.20.17:4321/rtp/239.11.0.70:5140$四川移动-组播2
安徽卫视,http://183.220.20.17:4321/rtp/239.11.0.117:5140$四川移动-组播2
北京卫视,http://183.220.20.17:4321/rtp/239.11.0.121:5140$四川移动-组播2
北京卫视4K超高清,http://183.220.20.17:4321/rtp/239.10.0.91:5140$四川移动-组播2
北京卫视4K超高清,http://183.220.20.17:4321/rtp/239.10.0.92:5140$四川移动-组播2
重庆卫视,http://183.220.20.17:4321/rtp/239.11.0.116:5140$四川移动-组播2
东方卫视,http://183.220.20.17:4321/rtp/239.11.0.68:5140$四川移动-组播2
东南卫视,http://183.220.20.17:4321/rtp/239.11.0.41:5140$四川移动-组播2
甘肃卫视,http://183.220.20.17:4321/rtp/239.11.0.55:5140$四川移动-组播2
广东卫视,http://183.220.20.17:4321/rtp/239.11.0.115:5140$四川移动-组播2
广西卫视,http://183.220.20.17:4321/rtp/239.11.0.48:5140$四川移动-组播2
贵州卫视,http://183.220.20.17:4321/rtp/239.11.0.51:5140$四川移动-组播2
河北卫视,http://183.220.20.17:4321/rtp/239.11.0.31:5140$四川移动-组播2
河南卫视,http://183.220.20.17:4321/rtp/239.11.0.44:5140$四川移动-组播2
黑龙江卫视,http://183.220.20.17:4321/rtp/239.11.0.36:5140$四川移动-组播2
湖北卫视,http://183.220.20.17:4321/rtp/239.11.0.74:5140$四川移动-组播2
吉林卫视,http://183.220.20.17:4321/rtp/239.11.0.35:5140$四川移动-组播2
江西卫视,http://183.220.20.17:4321/rtp/239.11.0.42:5140$四川移动-组播2
辽宁卫视,http://183.220.20.17:4321/rtp/239.11.0.118:5140$四川移动-组播2
山东卫视,http://183.220.20.17:4321/rtp/239.11.0.73:5140$四川移动-组播2
陕西卫视,http://183.220.20.17:4321/rtp/239.11.0.54:5140$四川移动-组播2
深圳卫视,http://183.220.20.17:4321/rtp/239.11.0.71:5140$四川移动-组播2
天津卫视,http://183.220.20.17:4321/rtp/239.11.0.123:5140$四川移动-组播2
云南卫视,http://183.220.20.17:4321/rtp/239.11.0.52:5140$四川移动-组播2
山西卫视,http://183.220.20.17:4321/rtp/239.11.0.32:5140$四川移动-组播2
海南卫视,http://183.220.20.17:4321/rtp/239.11.0.193:5140$四川移动-组播2
内蒙古卫视,http://183.220.20.17:4321/rtp/239.11.0.33:5140$四川移动-组播2
宁夏卫视,http://183.220.20.17:4321/rtp/239.11.0.57:5140$四川移动-组播2
青海卫视,http://183.220.20.17:4321/rtp/239.11.0.56:5140$四川移动-组播2
西藏卫视,http://183.220.20.17:4321/rtp/239.11.0.53:5140$四川移动-组播2
新疆卫视,http://183.220.20.17:4321/rtp/239.11.0.58:5140$四川移动-组播2
延边卫视,http://183.220.20.17:4321/rtp/239.11.0.206:5140$四川移动-组播2
兵团卫视,http://183.220.20.17:4321/rtp/239.11.0.204:5140$四川移动-组播2
睛彩篮球,http://183.220.20.17:4321/rtp/239.11.0.122:5140$四川移动-组播2
睛彩青少,http://183.220.20.17:4321/rtp/239.10.0.130:5140$四川移动-组播2
睛彩竞技,http://183.220.20.17:4321/rtp/239.10.0.224:5140$四川移动-组播2
睛彩广场舞,http://183.220.20.17:4321/rtp/239.10.0.131:5140$四川移动-组播2
咪咕体育直播1,http://183.220.20.17:4321/rtp/239.10.0.232:5140$四川移动-组播2
咪咕体育直播2,http://183.220.20.17:4321/rtp/239.10.0.233:5140$四川移动-组播2
咪咕体育直播3,http://183.220.20.17:4321/rtp/239.10.0.234:5140$四川移动-组播2
咪咕体育直播4,http://183.220.20.17:4321/rtp/239.10.0.235:5140$四川移动-组播2
咪咕体育直播5,http://183.220.20.17:4321/rtp/239.10.0.236:5140$四川移动-组播2
华数爱上4K,http://183.220.20.17:4321/rtp/239.11.0.120:5140$四川移动-组播2
华数光影,http://183.220.20.17:4321/rtp/239.10.0.153:5140$四川移动-组播2
华数星影,http://183.220.20.17:4321/rtp/239.10.0.156:5140$四川移动-组播2
华数家庭影院,http://183.220.20.17:4321/rtp/239.10.0.127:5140$四川移动-组播2
华数喜剧影院,http://183.220.20.17:4321/rtp/239.10.0.132:5140$四川移动-组播2
华数经典电影,http://183.220.20.17:4321/rtp/239.10.0.122:5140$四川移动-组播2
华数热播剧场,http://183.220.20.17:4321/rtp/239.10.0.121:5140$四川移动-组播2
华数谍战剧场,http://183.220.20.17:4321/rtp/239.10.0.123:5140$四川移动-组播2
华数城市剧场,http://183.220.20.17:4321/rtp/239.10.0.124:5140$四川移动-组播2
华数军旅剧场,http://183.220.20.17:4321/rtp/239.10.0.125:5140$四川移动-组播2
华数古装剧场,http://183.220.20.17:4321/rtp/239.10.0.126:5140$四川移动-组播2
华数武侠剧场,http://183.220.20.17:4321/rtp/239.10.0.133:5140$四川移动-组播2
华数动画,http://183.220.20.17:4321/rtp/239.10.0.163:5140$四川移动-组播2
上海动漫秀场,http://183.220.20.17:4321/rtp/239.10.0.101:5140$四川移动-组播2
上海生活时尚,http://183.220.20.17:4321/rtp/239.10.0.102:5140$四川移动-组播2
上海游戏风云,http://183.220.20.17:4321/rtp/239.10.0.103:5140$四川移动-组播2
上海乐游频道,http://183.220.20.17:4321/rtp/239.10.0.105:5140$四川移动-组播2
上海都市剧场,http://183.220.20.17:4321/rtp/239.10.0.106:5140$四川移动-组播2
上海欢笑剧场,http://183.220.20.17:4321/rtp/239.10.0.129:5140$四川移动-组播2
上海东方财经,http://183.220.20.17:4321/rtp/239.10.0.178:5140$四川移动-组播2
上海金色学堂,http://183.220.20.17:4321/rtp/239.10.0.179:5140$四川移动-组播2
上海法治天地,http://183.220.20.17:4321/rtp/239.10.0.180:5140$四川移动-组播2
金鹰纪实,http://183.220.20.17:4321/rtp/239.10.0.193:5140$四川移动-组播2
快乐垂钓,http://183.220.20.17:4321/rtp/239.10.0.128:5140$四川移动-组播2
中国交通,http://183.220.20.17:4321/rtp/239.10.0.143:5140$四川移动-组播2
中国天气,http://183.220.20.17:4321/rtp/239.10.0.177:5140$四川移动-组播2
求索纪录,http://183.220.20.17:4321/rtp/239.10.0.221:5140$四川移动-组播2
CETV1,http://183.220.20.17:4321/rtp/239.11.0.139:5140$四川移动-组播2
CETV2,http://183.220.20.17:4321/rtp/239.11.0.246:5140$四川移动-组播2
CGTN英语,http://183.220.20.17:4321/rtp/239.11.0.245:5140$四川移动-组播2
CGTN纪录,http://183.220.20.17:4321/rtp/239.11.0.138:5140$四川移动-组播2
金鹰卡通,http://183.220.20.17:4321/rtp/239.11.0.127:5140$四川移动-组播2
卡酷少儿,http://183.220.20.17:4321/rtp/239.11.0.129:5140$四川移动-组播2
优漫卡通,http://183.220.20.17:4321/rtp/239.11.0.63:5140$四川移动-组播2
哈哈炫动,http://183.220.20.17:4321/rtp/239.11.0.64:5140$四川移动-组播2
嘉佳卡通,http://183.220.20.17:4321/rtp/239.11.0.203:5140$四川移动-组播2
新动漫,http://183.220.20.17:4321/rtp/239.10.0.159:5140$四川移动-组播2
山东教育卫视,http://183.220.20.17:4321/rtp/239.11.0.140:5140$四川移动-组播2
铁路电视,http://183.220.20.17:4321/rtp/239.11.0.191:5140$四川移动-组播2
稻城电视台,http://183.220.20.17:4321/rtp/239.10.0.29:5140$四川移动-组播2
CDTV8购物,http://183.220.20.17:4321/rtp/239.10.0.33:5140$四川移动-组播2
IPTV国学,http://183.220.20.17:4321/rtp/239.10.0.186:5140$四川移动-组播2
IPTV地理,http://183.220.20.17:4321/rtp/239.10.0.190:5140$四川移动-组播2
IPTV戏曲,http://183.220.20.17:4321/rtp/239.10.0.150:5140$四川移动-组播2
IPTV高网,http://183.220.20.17:4321/rtp/239.10.0.164:5140$四川移动-组播2
四川卫视,http://112.192.72.120:8484/rtp/239.0.0.1:5140$四川联通-组播1
康巴卫视,http://112.192.72.120:8484/rtp/239.0.0.175:5140$四川联通-组播1
四川经济频道,http://112.192.72.120:8484/rtp/239.0.0.2:5140$四川联通-组播1
四川文化旅游,http://112.192.72.120:8484/rtp/239.0.0.3:5140$四川联通-组播1
四川新闻频道,http://112.192.72.120:8484/rtp/239.0.0.4:5140$四川联通-组播1
四川影视文艺,http://112.192.72.120:8484/rtp/239.0.0.5:5140$四川联通-组播1
四川妇女儿童,http://112.192.72.120:8484/rtp/239.0.0.7:5140$四川联通-组播1
四川科教频道,http://112.192.72.120:8484/rtp/239.0.0.186:5140$四川联通-组播1
四川乡村频道,http://112.192.72.120:8484/rtp/239.0.0.8:5140$四川联通-组播1
四川峨眉电影,http://112.192.72.120:8484/rtp/239.0.0.9:5140$四川联通-组播1
四川星空购物,http://112.192.72.120:8484/rtp/239.0.0.6:5140$四川联通-组播1
CHC家庭影院,http://112.192.72.120:8484/rtp/239.0.0.23:5140$四川联通-组播1
CHC动作电影,http://112.192.72.120:8484/rtp/239.0.0.24:5140$四川联通-组播1
CHC影迷电影,http://112.192.72.120:8484/rtp/239.0.0.25:5140$四川联通-组播1
精彩影视,http://112.192.72.120:8484/rtp/239.0.0.26:5140$四川联通-组播1
CCTV-1综合,http://112.192.72.120:8484/rtp/239.0.0.10:5140$四川联通-组播1
CCTV-2财经,http://112.192.72.120:8484/rtp/239.0.0.11:5140$四川联通-组播1
CCTV-3综艺,http://112.192.72.120:8484/rtp/239.0.0.12:5140$四川联通-组播1
CCTV-4中文国际,http://112.192.72.120:8484/rtp/239.0.0.13:5140$四川联通-组播1
CCTV-5体育,http://112.192.72.120:8484/rtp/239.0.0.14:5140$四川联通-组播1
CCTV-5+体育赛事,http://112.192.72.120:8484/rtp/239.0.0.22:5140$四川联通-组播1
CCTV-6电影,http://112.192.72.120:8484/rtp/239.0.0.15:5140$四川联通-组播1
CCTV-7国防军事,http://112.192.72.120:8484/rtp/239.0.0.16:5140$四川联通-组播1
CCTV-8电视剧,http://112.192.72.120:8484/rtp/239.0.0.17:5140$四川联通-组播1
CCTV-9纪录,http://112.192.72.120:8484/rtp/239.0.0.18:5140$四川联通-组播1
CCTV-10科教,http://112.192.72.120:8484/rtp/239.0.0.19:5140$四川联通-组播1
CCTV-11戏曲,http://112.192.72.120:8484/rtp/239.0.0.187:5140$四川联通-组播1
CCTV-12社会与法,http://112.192.72.120:8484/rtp/239.0.0.20:5140$四川联通-组播1
CCTV-13新闻,http://112.192.72.120:8484/rtp/239.0.0.190:5140$四川联通-组播1
CCTV-14少儿,http://112.192.72.120:8484/rtp/239.0.0.21:5140$四川联通-组播1
CCTV-15音乐,http://112.192.72.120:8484/rtp/239.0.0.188:5140$四川联通-组播1
CCTV-17农业农村,http://112.192.72.120:8484/rtp/239.0.0.152:5140$四川联通-组播1
CCTV4K超高清,http://112.192.72.120:8484/rtp/239.0.0.184:5140$四川联通-组播1
湖南卫视,http://112.192.72.120:8484/rtp/239.0.0.68:5140$四川联通-组播1
浙江卫视,http://112.192.72.120:8484/rtp/239.0.0.61:5140$四川联通-组播1
江苏卫视,http://112.192.72.120:8484/rtp/239.0.0.60:5140$四川联通-组播1
安徽卫视,http://112.192.72.120:8484/rtp/239.0.0.65:5140$四川联通-组播1
北京卫视,http://112.192.72.120:8484/rtp/239.0.0.52:5140$四川联通-组播1
重庆卫视,http://112.192.72.120:8484/rtp/239.0.0.72:5140$四川联通-组播1
东方卫视,http://112.192.72.120:8484/rtp/239.0.0.58:5140$四川联通-组播1
东南卫视,http://112.192.72.120:8484/rtp/239.0.0.62:5140$四川联通-组播1
甘肃卫视,http://112.192.72.120:8484/rtp/239.0.0.192:5140$四川联通-组播1
广东卫视,http://112.192.72.120:8484/rtp/239.0.0.70:5140$四川联通-组播1
广西卫视,http://112.192.72.120:8484/rtp/239.0.0.185:5140$四川联通-组播1
贵州卫视,http://112.192.72.120:8484/rtp/239.0.0.64:5140$四川联通-组播1
河北卫视,http://112.192.72.120:8484/rtp/239.0.0.55:5140$四川联通-组播1
河南卫视,http://112.192.72.120:8484/rtp/239.0.0.182:5140$四川联通-组播1
黑龙江卫视,http://112.192.72.120:8484/rtp/239.0.0.57:5140$四川联通-组播1
湖北卫视,http://112.192.72.120:8484/rtp/239.0.0.67:5140$四川联通-组播1
吉林卫视,http://112.192.72.120:8484/rtp/239.0.0.191:5140$四川联通-组播1
江西卫视,http://112.192.72.120:8484/rtp/239.0.0.63:5140$四川联通-组播1
辽宁卫视,http://112.192.72.120:8484/rtp/239.0.0.56:5140$四川联通-组播1
山东卫视,http://112.192.72.120:8484/rtp/239.0.0.66:5140$四川联通-组播1
陕西卫视,http://112.192.72.120:8484/rtp/239.0.0.53:5140$四川联通-组播1
深圳卫视,http://112.192.72.120:8484/rtp/239.0.0.71:5140$四川联通-组播1
天津卫视,http://112.192.72.120:8484/rtp/239.0.0.54:5140$四川联通-组播1
云南卫视,http://112.192.72.120:8484/rtp/239.0.0.74:5140$四川联通-组播1
山西卫视,http://112.192.72.120:8484/rtp/239.0.0.78:5140$四川联通-组播1
海南卫视,http://112.192.72.120:8484/rtp/239.0.0.100:5140$四川联通-组播1
内蒙古卫视,http://112.192.72.120:8484/rtp/239.0.0.79:5140$四川联通-组播1
宁夏卫视,http://112.192.72.120:8484/rtp/239.0.0.110:5140$四川联通-组播1
青海卫视,http://112.192.72.120:8484/rtp/239.0.0.108:5140$四川联通-组播1
